Depth,Age,d18O,Ref,,Depth,Age,UK37,Ref,,Depth,Age,MgCa,Ref
0.01,6,-1.47,Clemens1991,,0.04,7.11,0.938,Herbert2010,,,,,
0.21,8.36,-0.97,,,0.1,7.66,0.936,,,,,,
0.41,10.72,-0.23,,,0.14,8.04,0.94,,,,,,
0.61,13.08,0.17,,,0.34,9.89,0.91,,,,,,
0.81,15.44,0.17,,,0.39,10.36,0.91,,,,,,
1.01,17.8,0.43,,,0.46,11,0.925,,,,,,
1.21,21.9,0.2,,,0.52,11.56,0.897,,,,,,
1.41,26.01,0.49,,,0.58,12.12,0.882,,,,,,
1.61,30.11,0.23,,,0.64,12.68,0.854,,,,,,
1.81,34.22,-0.06,,,0.7,13.23,0.852,,,,,,
2.01,38.32,-0.08,,,0.76,13.79,0.857,,,,,,
2.21,42.43,-0.01,,,0.82,14.35,0.857,,,,,,
2.41,46.53,-0.22,,,0.88,14.9,0.863,,,,,,
2.61,50.63,-0.44,,,0.94,15.46,0.861,,,,,,
2.81,54.74,0.03,,,0.99,15.92,0.859,,,,,,
3.01,58.84,-0.3,,,1.06,16.57,0.869,,,,,,
3.21,62.95,0.19,,,1.13,17.22,0.878,,,,,,
3.31,65,,,,1.19,17.78,0.873,,,,,,
3.41,68,0.15,,,1.24,18.24,0.865,,,,,,
3.61,74,-0.37,,,1.3,18.8,0.871,,,,,,
3.81,80,-0.53,,,1.36,20.35,0.863,,,,,,
4.01,89.5,-0.41,,,1.42,21.9,0.865,,,,,,
4.21,99,-0.99,,,1.54,24.99,0.867,,,,,,
4.41,108.2,-0.51,,,1.6,26.54,0.878,,,,,,
4.61,117.4,-1.16,,,1.66,27.64,0.889,,,,,,
4.71,122,,,,1.72,28.64,0.892,,,,,,
4.81,123.6,-1.11,,,1.78,29.65,0.891,,,,,,
5.01,126.7,-0.2,,,1.84,30.65,0.889,,,,,,
5.21,129.8,0.26,,,1.9,31.66,0.887,,,,,,
5.54,135,0.43,,,1.96,32.66,0.869,,,,,,
5.71,138,0.05,,,2.02,33.65,0.875,,,,,,
5.91,141.4,0.16,,,2.08,34.55,0.869,,,,,,
6.11,144.9,0.2,,,2.14,35.45,0.863,,,,,,
6.31,148.4,-0.01,,,2.2,36.35,0.863,,,,,,
6.51,151.9,0.15,,,2.26,37.4,0.861,,,,,,
6.71,155.3,-0.12,,,2.32,38.48,0.849,,,,,,
6.91,158.8,0.02,,,2.38,39.56,0.844,,,,,,
7.11,162.3,0.02,,,2.44,40.87,0.823,,,,,,
7.31,165.8,-0.27,,,2.5,42.4,0.841,,,,,,
7.51,169.3,-0.36,,,2.56,43.93,0.854,,,,,,
7.61,171,,,,2.62,45.47,0.859,,,,,,
7.71,173.4,-0.4,,,2.68,47.09,0.864,,,,,,
7.91,178.2,-0.14,,,2.74,48.71,0.86,,,,,,
8.11,183,0.02,,,2.8,50.33,0.857,,,,,,
8.31,191.9,-0.79,,,2.86,51.85,0.86,,,,,,
8.51,200.7,-0.82,,,2.92,53.35,0.862,,,,,,
8.71,209.6,-1.17,,,3.04,56.38,0.855,,,,,,
8.91,218.4,-0.72,,,3.1,57.94,0.856,,,,,,
9.11,222.3,-0.83,,,3.16,59.5,0.852,,,,,,
9.31,226.2,-0.27,,,3.25,62,0.853,,,,,,
9.51,230.2,-0.48,,,3.28,62.9,0.862,,,,,,
9.71,234.1,-0.36,,,3.34,64.7,0.852,,,,,,
9.91,238,-0.79,,,3.4,66.5,0.869,,,,,,
10.11,241.7,-0.37,,,3.46,68.43,0.886,,,,,,
10.31,245.3,-0.11,,,3.52,70.38,0.903,,,,,,
10.51,249,-0.01,,,3.58,72.33,0.911,,,,,,
10.71,252.3,-0.03,,,3.64,74.43,0.915,,,,,,
10.91,255.7,-0.08,,,3.7,76.68,0.913,,,,,,
11.11,259,0.07,,,3.76,78.93,0.933,,,,,,
11.31,262.3,0.07,,,3.82,81.22,0.936,,,,,,
11.51,265.7,0.31,,,3.88,83.71,0.923,,,,,,
11.71,269,0.34,,,3.94,86.2,0.941,,,,,,
11.91,278,-0.29,,,3.99,88.27,0.942,,,,,,
12.11,287,-0.57,,,4.08,91.87,0.944,,,,,,
12.31,293,-0.29,,,4.12,93.45,0.937,,,,,,
12.51,299,-0.17,,,4.18,95.82,0.944,,,,,,
12.71,307,-0.39,,,4.24,98.76,0.945,,,,,,
12.91,315,-0.77,,,4.29,101.68,0.955,,,,,,
13.11,323,-0.68,,,4.36,105.78,0.934,,,,,,
13.31,331,-1.18,,,4.42,109.23,0.949,,,,,,
13.51,333.9,-0.75,,,4.54,115.53,0.951,,,,,,
13.71,336.7,-0.35,,,4.58,117.63,0.964,,,,,,
13.91,339.6,0.11,,,4.66,121.13,0.977,,,,,,
14.01,341,,,,4.72,123.44,0.981,,,,,,
14.11,343.3,0.36,,,4.78,125.75,0.98,,,,,,
14.31,347.8,0.06,,,4.84,127.49,0.978,,,,,,
14.51,352.3,-0.05,,,4.9,128.68,0.979,,,,,,
14.71,356.9,-0.27,,,4.95,129.67,0.959,,,,,,
15.11,365.9,-0.39,,,5.02,131.05,0.939,,,,,,
15.31,370.5,-0.32,,,5.08,132.23,0.932,,,,,,
15.51,375,-0.22,,,5.14,133.42,0.936,,,,,,
15.71,381,-0.36,,,5.18,134.21,0.919,,,,,,
15.91,387,-0.78,,,5.23,135.23,0.909,,,,,,
16.11,393,-0.52,,,5.28,136.31,0.909,,,,,,
16.31,399,-1.21,,,5.54,141.9,0.931,,,,,,
16.51,405,-1.31,,,5.6,143.21,0.922,,,,,,
16.71,423,-0.4,,,5.66,144.51,0.927,,,,,,
16.91,426.7,-0.01,,,5.73,146.03,0.925,,,,,,
17.11,430.3,0.41,,,5.78,147.11,0.924,,,,,,
17.31,434,0.46,,,5.84,148.4,0.912,,,,,,
17.51,438.5,0.31,,,5.9,149.69,0.913,,,,,,
17.71,443,0.43,,,5.96,151,0.931,,,,,,
17.91,447.5,0.32,,,6.02,152.32,0.915,,,,,,
18.11,452,0.17,,,6.08,153.64,0.915,,,,,,
18.31,456.5,-0.03,,,6.14,155.01,0.913,,,,,,
18.51,461,-0.12,,,6.2,156.42,0.891,,,,,,
18.71,466,-0.02,,,6.26,157.83,0.887,,,,,,
18.91,471,0.09,,,6.32,159.24,0.887,,,,,,
19.11,477.7,0.03,,,6.38,160.65,0.882,,,,,,
19.31,484.3,-0.21,,,6.44,162.06,0.885,,,,,,
19.51,491,-0.33,,,6.48,163,0.899,,,,,,
19.71,502,-0.22,,,6.56,164.85,0.902,,,,,,
19.91,513,-0.16,,,6.62,166.23,0.913,,,,,,
20.11,517.4,-0.37,,,6.68,167.61,0.927,,,,,,
20.31,521.8,-0.66,,,6.74,168.95,0.918,,,,,,
20.41,524,,,,6.8,170.24,0.919,,,,,,
20.51,528.7,-0.68,,,6.86,171.53,0.934,,,,,,
20.71,538,-0.26,,,6.92,172.82,0.915,,,,,,
20.91,552,-0.53,,,6.98,174.11,0.91,,,,,,
21.11,563,-0.34,,,7.04,175.4,0.912,,,,,,
21.31,574,-0.59,,,7.1,176.69,0.916,,,,,,
21.51,585,-0.41,,,7.16,177.95,0.917,,,,,,
21.71,596,-1.45,,,7.22,179.21,0.918,,,,,,
21.91,601.2,-0.61,,,7.28,180.47,0.918,,,,,,
22.11,606.5,-0.37,,,7.34,181.73,0.919,,,,,,
22.31,611.7,-0.42,,,7.4,182.99,0.92,,,,,,
22.51,617,-0.76,,,7.46,184.25,0.934,,,,,,
22.71,622.5,-0.49,,,7.52,185.5,0.907,,,,,,
22.91,628,0.48,,,7.58,186.7,0.924,,,,,,
23.11,632,0.32,,,7.64,187.9,0.921,,,,,,
23.31,636,0.3,,,7.69,188.9,0.917,,,,,,
23.51,640,0.25,,,7.76,190.3,0.931,,,,,,
23.71,644,-0.02,,,7.82,191.5,0.935,,,,,,
23.91,648,0.03,,,7.88,192.7,0.939,,,,,,
24.11,652,0.06,,,7.94,193.9,0.954,,,,,,
24.31,656,0.11,,,8,195.1,0.957,,,,,,
24.51,662.6,-0.22,,,8.06,196.3,0.962,,,,,,
24.71,669.2,-0.16,,,8.13,197.69,0.966,,,,,,
24.91,675.8,-0.24,,,8.18,198.67,0.961,,,,,,
25.11,682.4,-0.62,,,8.24,199.84,0.94,,,,,,
25.31,689,-0.87,,,8.29,200.81,0.952,,,,,,
25.51,692.7,-0.38,,,8.36,202.18,0.956,,,,,,
25.71,696.3,0.16,,,8.42,203.35,0.953,,,,,,
25.91,700,0.05,,,8.48,204.52,0.943,,,,,,
26.11,703.5,0.18,,,8.54,205.66,0.931,,,,,,
26.31,707,-0.21,,,8.6,206.77,0.939,,,,,,
26.51,710.5,-0.03,,,8.66,207.88,0.935,,,,,,
26.71,714,-0.43,,,8.73,209.08,0.932,,,,,,
26.91,717.5,0.1,,,8.78,209.78,0.932,,,,,,
27.11,721,-0.25,,,8.84,210.62,0.937,,,,,,
27.31,723.9,-0.06,,,8.9,211.46,0.936,,,,,,
27.51,726.7,-0.4,,,8.96,213.11,0.934,,,,,,
27.71,729.6,-0.54,,,9.02,214.93,0.936,,,,,,
27.81,731,,,,9.08,216.74,0.925,,,,,,
27.91,733.8,-0.51,,,9.14,218.56,0.874,,,,,,
28.11,739.3,-0.28,,,9.2,220.38,0.896,,,,,,
28.31,744.9,-0.03,,,9.26,222.19,0.859,,,,,,
28.51,750.4,0,,,9.32,224.31,0.857,,,,,,
28.71,756,0.11,,,9.38,226.74,0.884,,,,,,
28.91,759.4,0.01,,,9.44,229.17,0.884,,,,,,
29.11,762.8,-0.54,,,9.5,231.6,0.912,,,,,,
29.31,766.2,-0.52,,,9.56,234.03,0.924,,,,,,
29.51,769.7,-0.61,,,9.62,236.45,0.936,,,,,,
29.71,773.1,-0.88,,,9.68,238.88,0.951,,,,,,
29.91,776.5,-0.47,,,9.74,241.31,0.954,,,,,,
30.11,779.9,-0.97,,,9.8,243.74,0.954,,,,,,
30.31,783.3,-0.94,,,9.86,246.16,0.956,,,,,,
30.51,786.7,-0.87,,,9.92,248.59,0.956,,,,,,
30.71,790.2,-0.3,,,9.98,251.02,0.963,,,,,,
30.91,793.6,0.13,,,10.04,253.45,0.966,,,,,,
31.11,797,0.19,,,10.1,255.88,0.936,,,,,,
31.31,799.6,0.18,,,10.16,258.3,0.929,,,,,,
31.51,802.1,0.04,,,10.22,260.73,0.923,,,,,,
31.71,804.7,0.13,,,10.28,263.16,0.933,,,,,,
31.91,807.2,0.01,,,10.34,265.59,0.89,,,,,,
32.11,809.8,0.03,,,10.4,267.35,0.873,,,,,,
32.31,812.4,0.12,,,10.46,269.12,0.873,,,,,,
32.51,814.9,-0.02,,,10.54,271.47,0.867,,,,,,
32.71,817.5,-0.45,,,10.58,272.65,0.86,,,,,,
32.91,828.7,-0.03,,,10.64,274.41,0.859,,,,,,
33.11,839.9,0.21,,,10.7,276.18,0.853,,,,,,
33.31,843.9,0,,,10.76,277.94,0.861,,,,,,
33.51,847.9,-0.05,,,10.82,279.71,0.868,,,,,,
33.71,851.9,-0.18,,,10.88,281.47,0.869,,,,,,
33.91,855.9,-0.75,,,10.94,283.24,0.874,,,,,,
34.11,859.9,-0.57,,,11,285,0.882,,,,,,
